_id,url,__v,area,baths,beds,cars,description,externalFeatures,generalFeatures,internalFeatures,price
5f5ccdf41e441dbaa3386705,https://www.buyrentkenya.com/listings/6-bed-house-for-sale-old-runda-runda-aca0001,0,, 8,6,None,"
6 bedroom houseAll rooms en-suiteSitting on 0.6 acresHas 2 kitchens and a family roomLocated in Old RundaVery close proximity to Village market and Rosslyn Riviera mals There is a swimming pool, a gazebo and pool house which can also be used as an officeHas a mature gardenPrice: 95M
","[' Built in Cupboards ', ' Ensuite ', ' Kitchen ']","[' Balcony ', ' Fence ', ' Garden ']",[],"85,000,000"
5f5ccdf51e441dbaa338679b,https://www.buyrentkenya.com/listings/4-bed-house-for-sale-runda-lif0127,0,, 3,4,None,"
Unbelievable!!Yet a unique house with character in the after lush of Runda area.It comes with 4 No. bedrooms 2 No.ensuite in a quiet neighborhood.Salient features include:-Entrance-Lounge with functional fire place-Dining area -Common cloak room-Guest ensuite bedroom with ample ward robes,shower,sink basin and dressing mirrorFIRST FLOOR LEVEL:-2 sharing bedrooms with ample wardrobes,shower,sink basin and dressing mirror-Master ensuite bedroom with ample walk in closets,cubicle shower,sink basin and dressing mirrorEXTERNAL FEATURES:-Dhobi area-Manicured lawn with talk trees and branches -Secured by perimeter wall-Sufficient water tanks for storageThis is a gold mine,a place to be for few investors with high value returns.GRAB OPPORTUNITY!!
","[' Fence ', ' Garden ']","[' Fibre Internet ', ' Pets Allowed ']","[' Alarm ', ' Built in Cupboards ', ' Ensuite ', ' Kitchen ', ' Walk In Closet ']","75,000,000"
5f5ccdf61e441dbaa3386842,https://www.buyrentkenya.com/listings/4-bed-townhouse-for-sale-kiambu-road-runda-lhm0064,0,, 3,4, 3 ,"
HOUSE FEATURES:* Ultra-modern 4 Bedrooms, 2 Ensuite Rooms* Family and Study Rooms* Self-contained servant's quarter, with separate access* Quality finishes* Wooden Flooring * Spacious Dining Room and Living Room Areas* American Kitchen fitted with granite tops* A gym* Well maintained front and backyard garden* Cabro paved pathways and parking* Backup Generator* Underground water tanks and Borehole to supplement Water supply* Manned security gate, Perimeter wall, and Electric fence* Intercom, Internet and DSTV* Police Post* Tennis Pitch* Heated Swimming Pool * Ample visitors’ parking * Perimeter wall with razor wire and electric fence * Games room and picnic areaCOMPLETION: JUNE 2022
","[' Balcony ', ' Bore Hole ', ' Electric Fence ', ' Fence ', ' Garden ']","[' Backup Generator ', ' CCTV ', ' Electricity Included ', ' Fibre Internet ', ' Pets Allowed ', ' Scenic View ', ' Water Included ', ' Wheel Chair Friendly ']","[' Alarm ', ' Built in Cupboards ', ' Kitchen ', ' Walk In Closet ']","27,450,000"
5f5ccdf71e441dbaa33868c0,https://www.buyrentkenya.com/listings/5-bed-house-for-sale-runda-bsa0169,0,, 5,5,None,"
A stunning modern Five bedroom house built on 1/2 acre gentle slope for sale in runda.An elegant, well designed and built five bedroom house for sale in the most serene and secure area.features ;- five bedroom all ensuite-master with jacuzzi walking closet and a balcony- family room- study room- office room-open plan spacious kitchen with a large pantry-DSQ for two- laundry area-incomplete swimming and a gazeboBuilt to 95% completion.A place to call home!
","[' Balcony ', ' Bore Hole ', ' Electric Fence ', ' Fence ', ' Garden ']","[' Backup Generator ', ' CCTV ', ' Pets Allowed ', ' Scenic View ']","[' Aircon ', ' Alarm ', ' Built in Cupboards ', ' Ensuite ', ' Kitchen ', ' Walk In Closet ']","340,000"
5f5ccdf81e441dbaa3386971,https://www.buyrentkenya.com/listings/5-bed-serviced-house-for-sale-runda-rvh0040,0,, 5,5,None,"
Runda home 5 bedroom all en-suite- 2 living room with fireplace- Separate dining room- Two kitchen with pantry- Large family room- Balconies and verandas- Dsq for 2- Large store- Generator room- Askari’s cabin- Sitting on 0.7 acres- Long drive- House fitted with chandeliers and full fitted kitchen and washing machinePRICE : 150 M show me
","[' Balcony ', ' Bore Hole ', ' Electric Fence ', ' Fence ', ' Garden ']","[' CCTV ', ' Electricity Included ', ' Fibre Internet ']","[' Alarm ', ' Built in Cupboards ', ' Ensuite ', ' Kitchen ', ' Walk In Closet ']","150,000,000"
5f5ccdf91e441dbaa3386a42,https://www.buyrentkenya.com/listings/8-bed-serviced-house-for-sale-runda-mor672dc6055c9148899,0,,None,8,None,"
This is a newly built prime property located in Runda estate. It's eight bedrooms all ensuite house modern home. Situated on a half an acre. Spacious rooms and fitted with modern amenities and facilities. Back up generator, locable garage, DSQ and swimming pool. Security systems enhanced and electrified fence all round. For more information kindly contact us.
","[' Balcony ', ' Bore Hole ', ' Electric Fence ', ' Fence ', ' Garden ']","[' Backup Generator ', ' CCTV ', ' Electricity Included ', ' Fibre Internet ', ' Pets Allowed ', ' Scenic View ', ' Water Included ', ' Wheel Chair Friendly ']","[' Aircon ', ' Alarm ', ' Built in Cupboards ', ' Ensuite ', ' Kitchen ', ' Walk In Closet ']","150,000,000"
5f5ccdfa1e441dbaa3386adc,https://www.buyrentkenya.com/listings/5-bed-house-for-sale-runda-pgp2101,0,,None,5,None,"
5 Bedroom Home For SaleThis gorgeous property located in the heart of Runda along Runda Drive sits on 1.2 acres - a short driving distance from the UN.The property features 5 bedrooms which are all en-suite with built-in wardrobes. The master bedroom features a large fireplace with an adjoining Jacuzzi Room.The property boasts a fully fitted kitchen with two large pantries, in addition to a safe room.The living room features a fireplace which opens onto an outdoor terrace which is spacious and ideal for entertaining guests.The mature garden area has a solar heated swimming pool.The house also has an additional 2-bedroom self-contained guesthouse.This house is the perfect place to call home! Call us to arrange a viewing today!
","[' Built in Cupboards ', ' Ensuite ', ' Kitchen ']","[' Balcony ', ' Fence ', ' Garden ']",[],"200,000,000"
5f5ccdfb1e441dbaa3386b79,https://www.buyrentkenya.com/listings/4-bed-townhouse-for-sale-runda-lif0098,0,, 4,4,None,"
Good!These is a well structured and designed town house the vicinity of runda area.The unique design offers 4 No. bedrooms all ensuite,very well lite with big glass windows.The entrance welcomes you to the lounge with big glass windows extending to the dining area turning to a heart of home.Generous kitchen comes with granite topping,ample cabinetry,tiled floor to make cooking activities easier.Guest ensuite bedroom makes is very convenient for guests with ample wardrobes and cubicle shower.Wooden ventilated staircase ushers you to the bedrooms with ample wardrobes,cubicle shower,dressing mirror and sink basinWarm family room unite family members after a long day hustle.The master ensuite bedroom offers maximum comfort with a bathtub,ample walk in closets,cubicle shower,sink basin and dressing mirror.A well manicured lawn with flower beds offers ultimate privacy and security .This is a real home where security, ambiance and greenery is the address.
","[' Bore Hole ', ' Electric Fence ', ' Fence ', ' Garden ']","[' Fibre Internet ', ' Pets Allowed ']","[' Alarm ', ' Built in Cupboards ', ' Ensuite ', ' Kitchen ', ' Walk In Closet ']","28,000,000"
5f5ccdfc1e441dbaa3386c1d,https://www.buyrentkenya.com/listings/5-bed-serviced-house-for-sale-runda-mor7d82e82be1af4df6b,0,,None,5,None,"
This is a magnificent 5 bedroom house all ensuite plus DSQ with state of the art finishes. Has a family room, gym, sauna, in the Quiet and it's located in the Leafy heart of Runda sitting on a half acre with swimming pool. For more information kindly contact us.
","[' Balcony ', ' Bore Hole ', ' Electric Fence ', ' Fence ', ' Garden ']","[' Backup Generator ', ' CCTV ', ' Electricity Included ', ' Fibre Internet ', ' Pets Allowed ', ' Scenic View ', ' Water Included ', ' Wheel Chair Friendly ']","[' Aircon ', ' Alarm ', ' Built in Cupboards ', ' Ensuite ', ' Kitchen ', ' Walk In Closet ']","220,000,000"
5f5ccdfd1e441dbaa3386ca2,https://www.buyrentkenya.com/listings/5-bed-townhouse-for-sale-roslyn-park-runda-phe0865,0,, 7,5,None,"
Its Doubled Storeyed HouseSitting on 0.5 AcresFEATURESHigh Quality FinishesBedrooms all En-suiteVisitors CloakroomSpacious Kitchen with Fitted CabinetsSpacious Lounge with Fire PlaceAMENITIESBoreholeCCTV Cameras 24/7Ample ParkingLandscaped GardensChildren Play AreaElectric FenceSwimming Pool
","[' Bore Hole ', ' Electric Fence ', ' Garden ']","[' Backup Generator ', ' CCTV ', ' Pets Allowed ']","[' Built in Cupboards ', ' Ensuite ', ' Kitchen ']","95,000,000"
